ET	Runoff	Baseflow	CROP_SOIL_MOIST	EVAP_SOIL	date	cell
220.5012	14.6007	0.021	63702.512	112.8248	1/1/1988	456411997_CF
188.2625	12.0256	0.0227	62336.4898	77.3892	1/1/1989	456411997_CF
171.1825	11.5226	0.0201	63422.9233	86.2808	1/1/1990	456411997_CF
170.0353	12.6193	0.0255	61722.329	105.398	1/1/1991	456411997_CF
189.7953	14.1289	0.0271	66197.6255	89.5034	1/1/1992	456411997_CF
222.9185	12.1992	0.0283	65180.5366	96.9689	1/1/1993	456411997_CF
159.5519	13.4368	0.0295	63347.9603	87.096	1/1/1994	456411997_CF
292.3112	22.3104	0.0297	67745.864	127.873	1/1/1995	456411997_CF
221.6721	24.9329	0.0264	65440.9967	103.5034	1/1/1996	456411997_CF
304.6165	21.6754	0.0269	82229.9963	81.1226	1/1/1997	456411997_CF
240.1619	17.4036	0.0258	64998.0536	90.7149	1/1/1998	456411997_CF
141.9135	7.4188	0.0205	61053.3584	42.3167	1/1/1999	456411997_CF
181.9532	13.2915	0.0278	62838.6957	66.3155	1/1/2000	456411997_CF
156.6585	10.4117	0.0261	62300.7239	83.5499	1/1/2001	456411997_CF
131.6472	10.04	0.0267	60575.0629	71.5797	1/1/2002	456411997_CF
202.4185	14.8658	0.0236	65726.3615	64.1271	1/1/2003	456411997_CF
216.9321	12.7369	0.0288	64341.2415	88.8513	1/1/2004	456411997_CF
142.0584	13.4194	0.0204	60752.958	85.5644	1/1/2005	456411997_CF
283.8809	20.9035	0.0314	70832.7289	116.9837	1/1/2006	456411997_CF
204.595	13.6879	0.0217	64052.7393	84.5558	1/1/2007	456411997_CF
166.6776	8.8792	0.021	61439.7709	61.9147	1/1/2008	456411997_CF
171.8794	10.9953	0.0235	62554.5781	68.6511	1/1/2009	456411997_CF
208.7229	22.2786	0.0255	65583.4521	121.3319	1/1/2010	456411997_CF
440.5411	104.6173	55.9197	184923.2094	132.8585	1/1/1981	461411652_CC
474.6566	99.3064	59.1789	186334.9199	122.3608	1/1/1982	461411652_CC
403.7727	97.2204	62.8454	185135.2958	118.2942	1/1/1983	461411652_CC
418.3539	114.3	69.5033	185638.382	107.3617	1/1/1984	461411652_CC
403.2766	81.3381	67.4457	184624.6403	92.7069	1/1/1985	461411652_CC
407.2078	113.9984	70.8165	187853.541	120.1541	1/1/1986	461411652_CC
500.7175	56.9085	69.8416	165606.7044	147.8625	1/1/1987	461411652_CC
468.7432	70.7902	63.4631	151690.5668	141.7768	1/1/1988	461411652_CC
436.5298	84.5097	57.5676	168565.3377	128.1483	1/1/1989	461411652_CC
480.1312	101.1556	52.9237	183314.7792	128.7402	1/1/1990	461411652_CC
419.4886	84.8106	54.9551	178853.6332	124.7489	1/1/1991	461411652_CC
411.427	56.61	53.176	156420.2591	157.518	1/1/1992	461411652_CC
383.8376	106.709	51.5329	185298.0403	116.9723	1/1/1993	461411652_CC
454.2678	64.4373	52.5977	167393.6815	138.9536	1/1/1994	461411652_CC
415.6884	129.0392	51.5242	180502.0345	124.7154	1/1/1995	461411652_CC
398.5734	117.9901	68.195	180928.9718	95.8697	1/1/1996	461411652_CC
416.1227	166.7631	72.299	207149.7114	114.6955	1/1/1997	461411652_CC
441.4844	145.5716	72.635	209977.178	131.1356	1/1/1998	461411652_CC
418.6974	90.2904	72.635	204043.6035	102.0711	1/1/1999	461411652_CC
